scientific_name,park_name,observations,category,common_names,conservation_status,is_protected
Vicia benghalensis,Great Smoky Mountains National Park,68,Vascular Plant,"Purple Vetch, Reddish Tufted Vetch",No Intervention,False
Neovison vison,Great Smoky Mountains National Park,77,Mammal,American Mink,No Intervention,False
Prunus subcordata,Yosemite National Park,138,Vascular Plant,Klamath Plum,No Intervention,False
Abutilon theophrasti,Bryce National Park,84,Vascular Plant,Velvetleaf,No Intervention,False
Githopsis specularioides,Great Smoky Mountains National Park,85,Vascular Plant,Common Bluecup,No Intervention,False
Elymus virginicus var. virginicus,Yosemite National Park,112,Vascular Plant,Virginia Wildrye,No Intervention,False
Spizella pusilla,Yellowstone National Park,228,Bird,Field Sparrow,No Intervention,False
Elymus multisetus,Great Smoky Mountains National Park,39,Vascular Plant,"Big Squirreltail, Big Wild Rye",No Intervention,False
Lysimachia quadrifolia,Yosemite National Park,168,Vascular Plant,Whorled Loosestrife,No Intervention,False
Diphyscium cumberlandianum,Yellowstone National Park,250,Nonvascular Plant,Cumberland Diphyscium Moss,No Intervention,False
Ludwigia peploides ssp. glabrescens,Bryce National Park,103,Vascular Plant,Floating Primrosewillow,No Intervention,False
Cistothorus platensis,Bryce National Park,114,Bird,Sedge Wren,No Intervention,False
Setaria viridis var. viridis,Bryce National Park,101,Vascular Plant,Green Bristlegrass,No Intervention,False
Arabis davidsonii,Yellowstone National Park,279,Vascular Plant,Davidson's Rockcress,No Intervention,False
Fabronia ciliaris,Great Smoky Mountains National Park,72,Nonvascular Plant,Fabronia Moss,No Intervention,False
Lunaria annua,Great Smoky Mountains National Park,65,Vascular Plant,"Annual Honesty, Moneyplant",No Intervention,False
Quercus bicolor,Yosemite National Park,143,Vascular Plant,Swamp White Oak,No Intervention,False
Muhlenbergia rigens,Yosemite National Park,165,Vascular Plant,"Deer Muhly, Deergrass",No Intervention,False
Rubus idaeus ssp. strigosus,Yosemite National Park,150,Vascular Plant,American Red Raspberry,No Intervention,False
Polymnia canadensis,Great Smoky Mountains National Park,80,Vascular Plant,"Leaf-Cup, White-Flower Leafcup",No Intervention,False
Carduus nutans,Bryce National Park,83,Vascular Plant,Musk Thistle,No Intervention,False
Ptilium crista-castrensis,Bryce National Park,109,Nonvascular Plant,Knights Plume Moss,No Intervention,False
Elodea nuttallii,Yosemite National Park,158,Vascular Plant,Western Waterweed,No Intervention,False
Larus philadelphia,Yosemite National Park,167,Bird,Bonaparte's Gull,No Intervention,False
Zizia trifoliata,Yosemite National Park,135,Vascular Plant,"Meadow Alexanders, Three-Leaved Golden Alexanders",Species of Concern,True
Amaranthus retroflexus,Yellowstone National Park,247,Vascular Plant,"Green Amaranthus, Red-Root Amaranth",No Intervention,False
Geranium thunbergii,Yosemite National Park,150,Vascular Plant,Thunberg's Geranium,No Intervention,False
Scirpus cyperinus,Great Smoky Mountains National Park,73,Vascular Plant,"Bulrush, Cottongrass Bulrush",No Intervention,False
Viola glabella,Yellowstone National Park,261,Vascular Plant,Pioneer Violet,No Intervention,False
Scaphiopus holbrookii holbrookii,Yosemite National Park,177,Amphibian,Eastern Spadefoot,No Intervention,False
Glyceria striata,Yosemite National Park,117,Vascular Plant,"Fowl Manna-Grass, Striate Mannagrass",No Intervention,False
Veronica cusickii,Bryce National Park,84,Vascular Plant,Cusick's Speedwell,No Intervention,False
Festuca filiformis,Great Smoky Mountains National Park,79,Vascular Plant,Fineleaf Sheep Fescue,No Intervention,False
Rosa pinetorum,Bryce National Park,96,Vascular Plant,Pine Rose,No Intervention,False
Lysimachia nummularia,Yosemite National Park,140,Vascular Plant,"Creeping Jennie, Moneywort",No Intervention,False
Sclerolinon digynum,Bryce National Park,116,Vascular Plant,"Digynum Flax, Northwestern Yellowflax",No Intervention,False
Camissonia sierrae ssp. alticola,Bryce National Park,84,Vascular Plant,"Mono Hot Springs Evening Primrose, Mono Hot Springs Evening-Primrose",Species of Concern,True
Festuca idahoensis,Yellowstone National Park,239,Vascular Plant,Idaho Fescue,No Intervention,False
Doellingeria infirma,Yellowstone National Park,262,Vascular Plant,Cornel-Leaf Whitetop,No Intervention,False
Viola macloskeyi ssp. pallens,Great Smoky Mountains National Park,71,Vascular Plant,"Northern White Violet, Smooth White Violet",No Intervention,False
Cirsium arvense,Great Smoky Mountains National Park,85,Vascular Plant,"Crepping Thistle, Canada Thistle",No Intervention,False
Elaeagnus umbellata,Yosemite National Park,176,Vascular Plant,Autumn Olive,No Intervention,False
Cornus alternifolia,Yosemite National Park,148,Vascular Plant,"Alternate-Leaf Dogwood, Alternate-Leaved Dogwood",No Intervention,False
Portulaca oleracea,Great Smoky Mountains National Park,76,Vascular Plant,Common Purslane,No Intervention,False
Elaeagnus umbellata,Great Smoky Mountains National Park,85,Vascular Plant,Autumn Olive,No Intervention,False
Solidago missouriensis var. missouriensis,Bryce National Park,112,Vascular Plant,Missouri Goldenrod,No Intervention,False
Silene parryi,Great Smoky Mountains National Park,68,Vascular Plant,Parry's Silene,No Intervention,False
Itea virginica,Yellowstone National Park,235,Vascular Plant,"Sweet-Spire, Tasselwhite, Virginia Willow",No Intervention,False
Ammoselinum butleri,Yellowstone National Park,283,Vascular Plant,Butler's Sandparsley,No Intervention,False
Platycladus orientalis,Great Smoky Mountains National Park,25,Vascular Plant,Oriental White Cedar,No Intervention,False
Limnanthes alba ssp. versicolor,Yellowstone National Park,246,Vascular Plant,White Meadowfoam,No Intervention,False
Panicum rigidulum var. pubescens,Yosemite National Park,158,Vascular Plant,Long-Leaved Panic Grass,No Intervention,False
Salix humilis var. humilis,Great Smoky Mountains National Park,64,Vascular Plant,Prairie Willow,No Intervention,False
Hepatica nobilis,Yellowstone National Park,281,Vascular Plant,Hepatica,No Intervention,False
Eriogonum nudum var. deductum,Bryce National Park,88,Vascular Plant,Naked Buckwheat,No Intervention,False
Penstemon procerus,Great Smoky Mountains National Park,67,Vascular Plant,"Littleflower Penstemon, Pincushion Beardtongue",No Intervention,False
Ericameria suffruticosa,Yellowstone National Park,254,Vascular Plant,"Bighead Goldenbush, Singlehead Goldenbush, Single-Head Heath-Goldenrod",No Intervention,False
