OrderID,Date,Customer,Product,Quantity,UnitPrice,TotalPrice,Currency
B001,04/01/2024,EuroLogic,Headphones,10,€42.00,€420.00,EUR
B002,06/01/2024,TechHaus,Mouse,15,€18.00,€270.00,EUR
B003,09/01/2024,DataVision,Monitor,7,€155.00,"€1,085.00",EUR
B004,11/01/2024,SmartCore,Keyboard,20,€28.00,€560.00,EUR
B005,15/01/2024,EuroLogic,USB Hub,18,€13.50,€243.00,EUR
B006,18/01/2024,TechHaus,Mousepad,25,€8.99,€224.75,EUR
B007,21/01/2024,DataVision,Webcam,14,€41.00,€574.00,EUR
B008,23/01/2024,SmartCore,Laptop Stand,9,€32.00,€288.00,EUR
B009,26/01/2024,EuroLogic,Monitor,3,€155.00,€465.00,EUR
B010,28/01/2024,TechHaus,Keyboard,17,€28.00,€476.00,EUR
B011,01/02/2024,DataVision,Mouse,22,€18.00,€396.00,EUR
B012,03/02/2024,SmartCore,Headphones,12,€42.00,€504.00,EUR
B013,06/02/2024,EuroLogic,Mousepad,30,€8.99,€269.70,EUR
B014,08/02/2024,TechHaus,Webcam,11,€41.00,€451.00,EUR
B015,11/02/2024,DataVision,Keyboard,14,€28.00,€392.00,EUR
B016,14/02/2024,SmartCore,Monitor,4,€155.00,€620.00,EUR
B017,16/02/2024,EuroLogic,USB Hub,20,€13.50,€270.00,EUR
B018,19/02/2024,TechHaus,Headphones,15,€42.00,€630.00,EUR
B019,21/02/2024,DataVision,Mouse,19,€18.00,€342.00,EUR
B020,24/02/2024,SmartCore,Keyboard,13,€28.00,€364.00,EUR
B021,27/02/2024,EuroLogic,Mousepad,28,€8.99,€251.72,EUR
B022,01/03/2024,TechHaus,Webcam,16,€41.00,€656.00,EUR
B023,04/03/2024,DataVision,Monitor,5,€155.00,€775.00,EUR
B024,06/03/2024,SmartCore,Laptop Stand,11,€32.00,€352.00,EUR
B025,09/03/2024,EuroLogic,Mouse,17,€18.00,€306.00,EUR
B026,11/03/2024,TechHaus,Headphones,14,€42.00,€588.00,EUR
B027,14/03/2024,DataVision,USB Hub,10,€13.50,€135.00,EUR
B028,17/03/2024,SmartCore,Keyboard,19,€28.00,€532.00,EUR
B029,19/03/2024,EuroLogic,Monitor,6,€155.00,€930.00,EUR
B030,22/03/2024,TechHaus,Mousepad,35,€8.99,€314.65,EUR
