Date,Product,Region,Units_Sold,Unit_Price,Revenue
01/01/2024,C,South,1,30,30
02/01/2024,C,East,16,30,480
03/01/2024,C,East,11,30,330
04/01/2024,C,South,3,30,90
05/01/2024,A,South,6,80,480
06/01/2024,C,South,6,30,180
07/01/2024,C,West,12,30,360
08/01/2024,A,West,9,80,720
09/01/2024,A,East,11,80,880
10/01/2024,B,South,4,50,200
11/01/2024,C,North,11,30,330
12/01/2024,D,South,10,100,1000
13/01/2024,A,East,12,80,960
14/01/2024,C,East,19,30,570
15/01/2024,D,South,20,100,2000
16/01/2024,D,South,18,100,1800
17/01/2024,B,West,16,50,800
18/01/2024,B,West,13,50,650
19/01/2024,C,South,1,30,30
20/01/2024,A,North,12,80,960
21/01/2024,B,West,8,50,400
22/01/2024,D,North,8,100,800
23/01/2024,B,East,6,50,300
24/01/2024,B,North,11,50,550
25/01/2024,C,East,17,30,510
26/01/2024,A,North,15,80,1200
27/01/2024,B,North,1,50,50
28/01/2024,C,North,8,30,240
29/01/2024,B,South,12,50,600
30/01/2024,B,North,8,50,400
31/01/2024,A,North,6,80,480
01/02/2024,A,East,1,80,80
02/02/2024,B,North,4,50,200
03/02/2024,D,South,12,100,1200
04/02/2024,C,West,1,30,30
05/02/2024,C,South,6,30,180
06/02/2024,A,North,6,80,480
07/02/2024,A,West,20,80,1600
08/02/2024,C,West,8,30,240
09/02/2024,C,South,11,30,330
10/02/2024,D,West,8,100,800
11/02/2024,C,North,7,30,210
12/02/2024,D,North,18,100,1800
13/02/2024,C,South,4,30,120
14/02/2024,B,North,20,50,1000
15/02/2024,A,East,9,80,720
16/02/2024,C,West,10,30,300
17/02/2024,C,North,3,30,90
18/02/2024,D,West,9,100,900
19/02/2024,A,West,5,80,400
20/02/2024,C,West,8,30,240
21/02/2024,A,South,3,80,240
22/02/2024,C,South,9,30,270
23/02/2024,D,East,15,100,1500
24/02/2024,D,South,9,100,900
25/02/2024,D,North,19,100,1900
26/02/2024,C,East,14,30,420
27/02/2024,C,East,6,30,180
28/02/2024,A,West,11,80,880
29/02/2024,D,East,7,100,700
01/03/2024,A,South,16,80,1280
02/03/2024,B,West,17,50,850
03/03/2024,C,West,11,30,330
04/03/2024,B,West,19,50,950
05/03/2024,C,North,14,30,420
06/03/2024,C,South,20,30,600
07/03/2024,B,East,7,50,350
08/03/2024,D,North,17,100,1700
09/03/2024,C,East,11,30,330
10/03/2024,C,East,13,30,390
11/03/2024,D,West,15,100,1500
12/03/2024,C,South,11,30,330
13/03/2024,C,South,6,30,180
14/03/2024,A,East,19,80,1520
15/03/2024,A,East,4,80,320
16/03/2024,B,East,15,50,750
17/03/2024,C,West,13,30,390
18/03/2024,A,North,12,80,960
19/03/2024,A,North,11,80,880
20/03/2024,B,South,10,50,500
21/03/2024,B,North,9,50,450
22/03/2024,B,East,7,50,350
23/03/2024,C,East,3,30,90
24/03/2024,D,East,12,100,1200
25/03/2024,D,East,13,100,1300
26/03/2024,D,East,14,100,1400
27/03/2024,C,North,7,30,210
28/03/2024,D,South,7,100,700
29/03/2024,D,East,8,100,800
30/03/2024,A,North,17,80,1360
31/03/2024,D,East,1,100,100
01/04/2024,C,South,17,30,510
02/04/2024,B,North,9,50,450
03/04/2024,D,South,11,100,1100
04/04/2024,A,South,3,80,240
05/04/2024,D,West,13,100,1300
06/04/2024,B,North,5,50,250
07/04/2024,B,North,13,50,650
08/04/2024,C,West,6,30,180
09/04/2024,C,South,8,30,240
10/04/2024,B,North,12,50,600
11/04/2024,C,North,6,30,180
12/04/2024,D,West,15,100,1500
13/04/2024,D,South,5,100,500
14/04/2024,D,North,20,100,2000
15/04/2024,A,East,14,80,1120
16/04/2024,D,West,20,100,2000
17/04/2024,B,North,16,50,800
18/04/2024,D,East,7,100,700
19/04/2024,D,South,4,100,400
20/04/2024,D,East,14,100,1400
21/04/2024,C,East,4,30,120
22/04/2024,B,South,17,50,850
23/04/2024,B,South,19,50,950
24/04/2024,D,West,4,100,400
25/04/2024,B,North,19,50,950
26/04/2024,D,South,9,100,900
27/04/2024,D,South,2,100,200
28/04/2024,B,South,2,50,100
29/04/2024,A,West,2,80,160
