stockcode,description,total_sales
dot,dotcom postage,206248.77
22423,regency cakestand 3 tier,174156.54
23843,"paper craft , little birdie",168469.6
85123a,white hanging heart t-light holder,106236.72
47566,party bunting,99445.23
85099b,jumbo bag red retrospot,94159.81
23166,medium ceramic top storage jar,81700.92000000001
post,postage,78101.88
m,manual,77752.82
23084,rabbit night light,66870.03
22086,paper chain kit 50's christmas,64875.590000000004
84879,assorted colour bird ornament,58927.62
79321,chilli lights,54096.36
23298,spotty bunting,42513.48
22386,jumbo bag pink polkadot,42401.01
21137,black record cover frame,40633.38
22502,picnic basket wicker 60 pieces,39619.5
23284,doormat keep calm and come in,38133.64
22720,set of 3 cake tins pantry design,38108.89
22960,jam making set with jars,37082.13
82484,wood black board ant white finish,35966.92
20725,lunch bag red retrospot,35572.36
22197,popcorn holder,34288.67
22178,victorian glass hanging t-light,33146.82
22114,hot water bottle tea and sympathy,32973.44
22910,paper chain kit vintage christmas,32843.840000000004
22112,chocolate hot water bottle,32826.58
85099f,jumbo bag strawberry,32727.65
22469,heart of wicker small,32094.6
23245,set of 3 regency cake tins,31118.550000000003
21931,jumbo storage bag suki,30764.010000000002
22727,alarm clock bakelike red,30644.87
23199,jumbo bag apples,30450.690000000002
22470,heart of wicker large,30098.110000000004
22355,charlotte bag suki design,29254.15
22699,roses regency teacup and saucer,29056.920000000002
23355,hot water bottle keep calm,28718.8
22411,jumbo shopper vintage red paisley,28577.1
20685,doormat red retrospot,28049.54
85099c,jumbo  bag baroque black white,28047.74
22457,natural slate heart chalkboard,27991.610000000004
23201,jumbo bag alphabet,27850.83
22726,alarm clock bakelike green,27155.28
84347,rotating silver angels t-light hldr,26425.579999999998
21915,red  harmonica in box,26294.08
22666,recipe box pantry yellow design,26219.95
21175,gin + tonic diet metal sign,25792.47
22629,spaceboy lunch box,25719.02
22961,jam making set printed,25637.78
48138,doormat union flag,25534.15
21181,please one person metal sign,25225.480000000003
23173,regency teapot roses,24879.13
21621,vintage union jack bunting,24525.83
23203,jumbo bag vintage doily,24489.08
22111,scottie dog hot water bottle,24455.39
22722,set of 6 spice tins pantry design,24436.260000000002
22326,round snack boxes set of4 woodland,24364.870000000003
22138,baking set 9 piece retrospot,24185.27
48187,doormat new england,24108.39
21731,red toadstool led night light,23919.78
48185,doormat fairy cake,23872.91
23344,jumbo bag 50's christmas,23772.07
15056n,edwardian parasol natural,23737.97
23243,set of tea coffee sugar tins pantry,23489.42
22189,cream heart card holder,23435.82
21733,red hanging heart t-light holder,23199.24
21929,jumbo bag pink vintage paisley,23179.06
82482,wooden picture frame white finish,23057.06
20713,jumbo bag owls,23001.06
21623,vintage union jack memoboard,22980.239999999998
22139,retrospot tea set ceramic 11 pc,22868.260000000002
22090,paper bunting retrospot,22785.06
22697,green regency teacup and saucer,22755.5
85066,cream sweetheart mini chest,22594.2
20727,lunch bag  black skull.,22346.96
48194,doormat hearts,22114.42
20712,jumbo bag woodland animals,22092.420000000002
84029e,red woolly hottie white heart.,22025.73
82494l,wooden frame antique white,21811.09
23202,jumbo bag vintage leaf,21810.43
20724,red retrospot charlotte bag,21773.39
20728,lunch bag cars blue,21699.48
22630,dolly girl lunch box,21609.789999999997
21523,doormat fancy font home sweet home,21593.74
21843,red retrospot cake stand,21354.3
21212,pack of 72 retrospot cake cases,21246.45
21166,cook with wine metal sign,20874.440000000002
23206,lunch bag apple design,20852.58
22659,lunch box i love london,20781.649999999998
22728,alarm clock bakelike pink,20672.15
21479,white skull hot water bottle,20582.2
84946,antique silver t-light glass,19381.62
22501,picnic basket wicker large,19302.26
22328,round snack boxes set of 4 fruits,19094.97
22467,gumball coat rack,18798.670000000002
22969,homemade jam scented candles,18771.149999999998
22383,lunch bag suki design,18699.43
15036,assorted colours silk fan,18569.84
20726,lunch bag woodland,18283.78
21108,fairy cake flannel assorted colour,18056.280000000002
22382,lunch bag spaceboy design,18031.31
22693,grow a flytrap or sunflower in tin,17927.45
22835,hot water bottle i am so poorly,17892.96
22865,hand warmer owl design,17786.13
21485,retrospot heart hot water bottle,17663.98
20914,set/5 red retrospot lid glass bowls,17623.350000000002
22698,pink regency teacup and saucer,17445.56
22384,lunch bag pink polkadot,17388.99
23203,jumbo bag doiley patterns,17268.69
21928,jumbo bag scandinavian blue paisley,17239.69
22077,6 ribbons rustic charm,17186.62
22385,jumbo bag spaceboy design,17071.59
71477,colour glass. star t-light holder,17069.7
22197,small popcorn holder,17045.8
82583,hot baths metal sign,16946.260000000002
22492,mini paint set vintage,16937.82
21754,home building block word,16923.47
15056bl,edwardian parasol black,16915.72
84997d,childrens cutlery polkadot pink,16865.97
20719,woodland charlotte bag,16744.45
22993,set of 4 pantry jelly moulds,16478.48
84978,hanging heart jar t-light holder,16453.78
22624,ivory kitchen scales,16378.710000000001
84078a,set/4 white retro storage cubes,16363.300000000001
23301,gardeners kneeling pad keep calm,16327.35
84029g,knitted union flag hot water bottle,16148.04
85152,hand over the chocolate   sign,15928.730000000001
23313,vintage christmas bunting,15798.66
22379,recycling bag retrospot,15607.59
82483,wood 2 drawer cabinet white finish,15123.92
22084,paper chain kit empire,15099.37
22900,set 2 tea towels i love london,14938.43
22752,set 7 babushka nesting boxes,14427.97
22866,hand warmer scotty dog design,14366.52
22847,bread bin diner style ivory,14329.539999999999
48184,doormat english rose,14300.15
22507,memo board retrospot  design,14193.35
23200,jumbo bag pears,14188.960000000001
21232,strawberry ceramic trinket box,14117.58
22625,red kitchen scales,14082.2
22867,hand warmer bird design,14061.890000000001
22083,paper chain kit retrospot,14051.640000000001
21930,jumbo storage bag skulls,14006.2
23343,jumbo bag vintage christmas,13972.710000000001
22622,box of vintage alphabet blocks,13931.31
20971,pink blue felt craft trinket box,13828.1
84077,world war 2 gliders asstd designs,13814.009999999998
22941,christmas lights 10 reindeer,13795.92
amazonfee,amazon fee,13761.09
23077,doughnut lip gloss,13695.77
22171,3 hook photo shelf antique white,13611.81
22551,plasters in tin spaceboy,13602.11
21524,doormat spotty home sweet home,13572.06
23356,love hot water bottle,13334.32
22554,plasters in tin woodland animals,13328.27
22558,clothes pegs retrospot pack 24,13325.869999999999
23207,lunch bag alphabet design,13325.55
23108,set of 10 led dolly lights,13290.52
23328,set 6 school milk bottles in crate,13269.49
47566b,tea time party bunting,12926.42
22499,wooden union jack bunting,12792.25
22113,grey heart hot water bottle,12763.08
22427,enamel flower jug cream,12647.26
20750,red retrospot mini cases,12634.98
84997b,childrens cutlery retrospot red,12604.23
20749,assorted colour mini cases,12550.57
20723,strawberry charlotte bag,12548.15
22607,wooden rounders garden set,12531.57
21790,vintage snap cards,12510.01
22188,black heart card holder,12483.220000000001
21755,love building block word,12435.86
22568,feltcraft cushion owl,12413.89
84997c,childrens cutlery polkadot blue,12366.97
22424,enamel bread bin cream,12358.33
22149,feltcraft 6 flower friends,12357.08
23174,regency sugar bowl green,12342.43
21977,pack of 60 pink paisley cake cases,12226.32
47590b,pink happy birthday bunting,12179.6
48188,doormat welcome puppies,12107.02
22273,feltcraft doll molly,12001.59
22191,ivory diner wall clock,11911.65
21430,set/3 red gingham rose storage box,11905.95
82486,wood s/3 cabinet ant white finish,11885.98
22087,paper bunting white lace,11872.58
22193,red diner wall clock,11857.07
22158,3 hearts hanging decoration rustic,11797.380000000001
22502,picnic basket wicker small,11789.27
23300,gardeners kneeling pad cup of tea,11785.99
21936,red retrospot picnic bag,11665.19
23581,jumbo bag paisley park,11581.83
22692,doormat welcome to our home,11539.06
21217,red retrospot round cake tins,11522.44
22730,alarm clock bakelike ivory,11453.4
21481,fawn blue hot water bottle,11443.87
22356,charlotte bag pink polkadot,11417.74
21216,"set 3 retrospot tea,coffee,sugar",11382.81
22041,"record frame 7"" single size",11354.56
21080,set/20 red retrospot paper napkins,11312.56
21340,classic metal birdcage plant holder,11300.02
22605,wooden croquet garden set,11276.21
85014b,red retrospot umbrella,11265.26
22570,feltcraft cushion rabbit,11204.97
23170,regency tea plate roses,11097.25
22413,metal sign take it or leave it,11095.94
22662,lunch bag dolly girl design,11060.88
20711,jumbo bag toys,11014.62
85048,15cm christmas glass ball 20 lights,10910.61
22988,soldiers egg cup,10858.31
23209,lunch bag vintage doily,10797.0
22617,baking set spaceboy design,10745.05
22846,bread bin diner style red,10676.619999999999
22734,set of 6 ribbons vintage christmas,10610.04
21891,traditional wooden skipping rope,10504.85
21791,vintage heads and tails card game,10504.4
23209,lunch bag doiley pattern,10502.19
47590a,blue happy birthday bunting,10491.75
84755,colour glass t-light holder hanging,10487.050000000001
23208,lunch bag vintage leaf design,10441.91
22992,revolver wooden ruler,10373.99
22169,family album white picture frame,10345.76
21914,blue harmonica in box,10339.81
48173c,doormat black flock,10253.61
84947,antique silver tea glass engraved,10229.77
23582,vintage doily jumbo bag red,10206.41
82600,no singing metal sign,10193.76
22970,london bus coffee mug,10140.6
21218,red spotty biscuit tin,10116.49
22569,feltcraft cushion butterfly,10110.83
22556,plasters in tin circus parade,10061.86
22621,traditional knitting nancy,10053.65
23171,regency tea plate green,10051.99
22633,hand warmer union jack,10023.720000000001
20679,edwardian parasol red,10021.42
22690,doormat home sweet home blue,9943.7
23076,ice cream sundae lip gloss,9935.76
22619,set of 6 soldier skittles,9895.04
22654,deluxe sewing kit,9893.0
22791,t-light glass fluted antique,9873.880000000001
22555,plasters in tin strongman,9841.83
21314,small glass heart trinket pot,9798.980000000001
22838,3 tier cake tin red and cream,9765.11
22766,photo frame cornice,9755.09
22561,wooden school colouring set,9741.57
21559,strawberry lunch box with cutlery,9735.380000000001
23240,set of 4 knick knack tins doily,9726.48
22776,sweetheart cakestand 3 tier,9687.3
22144,christmas craft little friends,9662.28
22844,vintage cream dog food container,9661.32
23175,regency milk jug pink,9587.15
22560,traditional modelling clay,9572.32
22978,pantry rolling pin,9564.98
22456,natural slate chalkboard large,9534.67
35970,zinc folkart sleigh bells,9512.73
22952,60 cake cases vintage christmas,9498.869999999999
21174,pottering in the shed metal sign,9405.76
85150,ladies & gentlemen metal sign,9383.43
84375,set of 20 kids cookie cutters,9383.150000000001
21155,red retrospot peg bag,9296.3
23319,box of 6 mini 50's crackers,9219.53
22749,feltcraft princess charlotte doll,9216.16
22966,gingerbread man cookie cutter,9202.15
84991,60 teatime fairy cake cases,9169.97
23318,box of 6 mini vintage crackers,9162.41
20972,pink cream felt craft trinket box,9128.06
23080,red metal box top secret,9117.62
48116,doormat multicolour stripe,9080.68
22729,alarm clock bakelike orange,9068.95
22759,set of 3 notebooks in parcel,9027.44
22989,set 2 pantry design tea towels,8999.27
22771,clear drawer knob acrylic edwardian,8930.44
23322,large white heart of wicker,8878.210000000001
82582,area patrolled metal sign,8858.79
23439,hand warmer red love heart,8855.51
21889,wooden box of dominoes,8847.29
22632,hand warmer red retrospot,8757.83
84945,multi colour silver t-light holder,8744.43
22947,wooden advent calendar red,8714.24
22147,feltcraft butterfly hearts,8621.14
22652,travel sewing kit,8612.07
22795,sweetheart recipe book stand,8571.25
71459,hanging jam jar t-light holder,8560.84
23082,set 6 paper table lantern hearts,8558.76
23078,ice cream pen lip gloss,8553.34
21035,set/2 red retrospot tea towels,8536.85
84378,set of 3 heart cookie cutters,8518.4
23256,childrens cutlery spaceboy,8517.67
23493,vintage doily travel sewing kit,8497.98
21484,chick grey hot water bottle,8495.42
23321,small white heart of wicker,8438.54
21213,pack of 72 skull cake cases,8414.59
21210,set of 72 retrospot paper  doilies,8368.39
22768,family photo frame cornice,8258.59
72741,grand chocolatecandle,8196.0
22192,blue diner wall clock,8189.29
22725,alarm clock bakelike chocolate,8153.6
84380,set of 3 butterfly cookie cutters,8153.5599999999995
84970s,hanging heart zinc t-light holder,8146.8
22655,vintage red kitchen cabinet,8125.0
22667,recipe box retrospot,8045.1
22909,set of 20 vintage christmas napkins,8041.179999999999
71053,white metal lantern,8037.7699999999995
21121,set/10 red polkadot party candles,7998.85
22616,pack of 12 london tissues,7975.98
21770,open closed metal sign,7923.93
22487,white wood garden plant ladder,7909.28
22940,feltcraft christmas fairy,7890.25
22352,lunch box with cutlery retrospot,7860.97
22968,rose cottage keepsake box,7851.98
21136,painted metal pears assorted,7793.139999999999
23238,set of 4 knick knack tins london,7771.61
22173,metal 4 hook hanger french chateau,7767.8
22557,plasters in tin vintage paisley,7762.24
21908,chocolate this way metal sign,7752.22
23204,charlotte bag apples design,7741.94
23007,spaceboy baby gift set,7741.749999999999
48111,doormat 3 smiley cats,7708.48
84997a,childrens cutlery polkadot green,7701.71
21258,victorian sewing box large,7674.799999999999
84406b,cream cupid hearts coat hanger,7653.17
84949,silver hanging t-light holder,7622.64
21231,sweetheart ceramic trinket box,7617.28
22991,giraffe wooden ruler,7604.889999999999
21955,doormat union jack guns and roses,7580.82
22585,pack of 6 birdy gift tags,7547.889999999999
22627,mint kitchen scales,7521.89
22367,childrens apron spaceboy design,7508.58
22750,feltcraft princess lola doll,7491.83
21668,red stripe ceramic drawer knob,7481.16
