invoiceno,items_per_order
536365,40
536366,12
536367,83
536368,15
536369,3
536370,449
536371,80
536372,12
536373,88
536374,32
536375,88
536376,112
536377,12
536378,454
536380,24
536381,198
536382,134
536384,190
536385,53
536386,236
536387,1440
536388,108
536389,107
536390,1568
536392,103
536393,8
536394,544
536395,260
536396,102
536397,60
536398,150
536399,12
536400,12
536401,124
536402,116
536403,97
536404,438
536405,128
536406,96
536407,12
536408,558
536409,169
536412,197
536414,56
536415,228
536416,110
536420,111
536423,78
536425,137
536437,1004
536446,323
536460,158
536463,12
536464,151
536466,18
536477,1070
536488,71
536500,102
536502,39
536508,216
536514,118
536520,197
536521,1
536522,84
536523,112
536524,24
536525,29
536526,94
536527,157
536528,113
536529,38
536530,71
536531,391
536532,1852
536533,80
536534,51
536535,71
536536,95
536537,138
536538,146
536539,160
536540,231
536541,12
536542,392
536544,1208
536545,1
536546,1
536547,1
536549,1
536550,1
536551,84
536552,1
536553,3
536554,23
536555,2
536556,71
536557,198
536558,5
536559,117
536560,256
536561,140
536562,99
536563,165
536564,12
536565,2
536566,93
536567,132
536568,12
536569,153
536570,86
536571,284
536572,301
536573,136
536574,3
536575,858
536576,1122
536577,388
536578,104
536579,276
536580,66
536581,200
536582,184
536583,120
536584,384
536585,2
536586,44
536587,313
536588,103
536589,10
536590,74
536591,93
536592,1478
536593,19
536594,34
536595,108
536596,9
536597,71
536598,76
536599,80
536600,56
536601,12
536602,64
536603,12
536604,114
536605,107
536607,93
536608,30
536609,88
536610,12
536611,153
536612,82
536613,197
536614,12
536615,108
536616,72
536617,644
536618,600
536619,48
536620,741
536621,298
536623,666
536624,228
536626,6
536627,64
536628,86
536629,12
536630,88
536631,12
536632,170
536633,105
536634,159
536635,246
536636,36
536637,157
536638,619
536639,106
536640,11
536641,1
536643,74
536663,156
536667,214
536670,40
536671,132
536672,40
536673,504
536674,122
536676,54
536681,46
536685,108
536688,12
536690,92
536693,12
536698,144
536707,41
536732,274
536733,255
536735,128
536736,1296
536738,42
536739,31
536740,67
536741,130
536742,102
536743,195
536744,137
536745,126
536746,92
536747,75
536748,26
536749,93
536750,118
536751,12
536752,104
536753,12
536754,142
536755,15
536756,23
536759,113
536761,36
536762,231
536763,331
536764,38
536765,19
536769,375
536771,66
536777,97
536778,125
536779,1
536780,4
536781,24
536782,244
536783,2909
536784,1330
536785,1008
536786,144
536787,76
536788,60
536789,12
536790,141
536791,24
536792,24
536793,70
536794,96
536795,180
536796,159
536797,56
536798,454
536799,122
536800,190
536801,134
536802,50
536803,6
536804,531
536805,384
536806,84
536808,64
536809,1824
536810,204
536811,69
536813,230
536819,190
536821,80
536823,13
536824,160
536830,4280
536831,260
536832,64
536833,208
536834,12
536835,1
536836,133
536837,174
536838,96
536839,879
536840,148
536841,174
536842,130
536843,14
536844,38
536845,45
536846,126
536847,222
536848,280
536849,106
536851,360
536852,107
536856,343
536857,54
536858,110
536859,186
536860,108
536861,79
536862,150
536863,73
536864,66
536865,317
536866,1
536874,86
536876,1641
536883,13
536884,5
536885,200
536890,1548
536920,58
536938,464
536941,20
536942,15
536943,170
536944,400
536945,152
536946,363
536947,439
536954,100
536956,93
536957,234
536960,125
536967,31
536968,168
536969,192
536970,120
536971,140
536972,35
536973,356
536974,132
536975,827
536976,76
536977,60
536980,239
536981,38
536982,1834
536983,60
536984,136
536985,42
536986,104
536987,124
536988,100
536989,26
536990,65
536991,32
536992,36
536993,39
536994,18
536995,57
536996,20
536997,20
536998,6
536999,110
537000,22
537001,6
537002,70
537003,2
537004,30
537005,70
537006,130
537007,80
537008,120
537009,80
537010,40
537011,5
537012,12
537013,25
537014,20
537015,14
537016,15
537017,69
537018,3
537019,15
537020,30
537021,20
537022,164
537023,64
537025,48
537026,528
537027,140
537028,320
537029,6
537030,142
537031,108
537032,30
537034,1338
537035,8
537036,75
537037,92
537038,125
537040,192
537041,52
537042,80
537044,93
537045,43
537046,55
537047,181
537048,2
537049,97
537050,437
537051,121
537052,232
537053,124
537054,82
537055,107
537057,129
537058,197
537059,58
537065,611
537067,8
537077,163
537081,442
537086,168
537090,12
537111,83
537117,48
537126,211
537127,160
537128,135
537129,232
537130,28
537131,429
537133,68
537134,107
537135,471
537136,147
537137,392
537138,204
537139,25
537140,51
537141,165
537142,16
537144,202
537153,407
537154,327
537155,63
537156,75
537158,86
537159,60
537160,128
537163,276
537176,69
537179,284
537192,102
537193,226
537194,80
537195,298
537196,149
537197,80
537198,11
537199,111
537200,46
537201,972
537202,106
537204,293
537205,116
537206,25
537207,40
537208,141
537209,83
537210,100
537211,145
537212,299
537213,7
537214,2048
537215,108
537216,240
537217,16
537218,196
537219,252
537220,1
537221,14
537222,56
537223,46
537224,674
537225,310
537226,86
537227,700
537228,12
537229,12
537230,1
537231,112
537233,148
537235,1464
537236,91
537237,1608
537238,88
537239,67
537240,1811
537241,172
537242,282
537243,24
537244,349
537245,48
537246,53
537247,192
537248,39
537249,20
537250,89
537252,31
537253,178
537254,207
537255,163
537256,796
537257,58
537258,92
537262,256
537265,175
537298,54
537301,72
537312,254
537313,21
537332,120
537334,146
537335,32
537346,503
537350,350
537351,94
537354,85
537359,72
537360,72
537361,5
537362,529
537363,20
537364,70
537365,201
537366,106
537367,12
537368,135
537369,93
537370,168
537371,119
537372,73
537374,256
537375,223
537376,278
537377,116
537378,476
537380,48
537381,372
537382,192
537384,56
537385,37
537386,3
537387,84
537388,210
537389,60
537390,40
537391,257
537392,80
537393,972
537394,54
537395,75
537396,64
537397,164
537399,174
537400,261
537401,24
537403,21
537404,38
537405,132
537407,34
537409,247
537410,72
537411,4
537412,96
537415,63
537418,65
537419,209
537420,184
537421,129
537422,127
537423,104
537424,57
537425,20
537426,35
537427,21
537428,210
537429,119
537430,120
537432,43
537433,146
537434,1869
537435,82
537436,7
537437,10
537438,13
537439,1
537440,67
537441,255
537442,2
537446,201
537447,54
537448,6
537449,30
537450,19
537451,11
537452,24
537453,18
537454,44
537455,70
537456,780
537457,914
537458,101
537459,112
537460,128
537461,120
537462,89
537463,585
537464,234
537465,218
537466,50
537467,51
537468,167
537469,24
537470,21
537471,3
537472,126
537476,550
537484,680
537489,396
537509,288
537523,61
537534,114
537538,131
537567,124
537592,268
537593,300
537594,155
537595,43
537598,80
537599,2
537601,62
537603,213
537604,516
537605,52
537606,279
537607,74
537608,235
537609,236
537612,122
537614,137
537615,20
537616,2
537617,76
537618,956
537619,136
537620,54
537621,10
537622,114
537623,199
537624,146
537625,36
537626,319
537627,476
537628,189
537629,191
537631,12
537632,1
537633,5
537634,62
537635,30
537636,32
537637,4
537638,1448
537639,30
537640,2201
537641,138
537642,256
537643,269
537645,254
537646,124
537648,271
537649,36
537650,124
537653,80
537654,46
537655,57
537657,2790
537658,120
537659,3689
537664,24
537665,101
537666,1144
537667,128
537668,20
537669,105
537670,151
537671,145
537672,182
537673,139
537674,250
537675,12
537676,214
537678,133
537679,24
537680,173
537681,175
537682,72
537683,240
537685,171
537686,148
537687,9
537688,270
537689,288
537690,220
537691,163
537692,434
537693,121
537694,63
537698,452
537700,68
537707,176
537738,144
537743,65
537751,16
537754,53
537755,198
537757,86
537758,118
537759,108
537760,106
537761,12
537762,275
537764,62
537765,81
537766,288
537767,32
537768,20
537769,90
537770,176
537771,204
537772,157
537773,138
537774,196
537775,525
537780,51
537781,246
537789,214
537791,12
537792,67
537793,1655
537794,189
537795,92
537796,248
537799,55
537800,75
537801,43
537802,190
537803,10
537804,116
537806,105
537808,145
537809,26
537810,3
537811,74
537813,116
537815,158
537816,29
537817,76
537818,424
537819,286
537822,365
537823,1484
537825,118
537826,104
537827,30
537828,331
537829,260
537830,67
537831,39
537833,200
537836,144
537837,303
537839,9
537840,103
537841,1000
537842,74
537843,59
537844,94
537845,12
537846,130
537847,64
537848,144
537849,60
537850,316
537851,264
537852,1665
537854,120
537855,95
537858,15
537859,96
537861,47
537862,71
537863,1
537864,238
537865,125
537866,274
537867,75
537868,1730
537870,77
537871,123
537872,1
537873,1
537874,1
537875,1
537876,2
537877,1
537878,1
537879,56
537880,172
537881,238
537882,45
537883,60
537884,111
537885,69
537886,110
537887,532
537888,440
537889,260
537890,36
537891,36
537892,85
537894,227
537895,92
537896,157
537897,107
537898,87
537899,1488
537900,231
537901,68
537915,118
537955,85
537963,149
537967,9
537981,2154
537995,84
537999,223
538000,17
538001,10
538002,80
538003,454
538004,144
538005,120
538006,64
538007,92
538008,557
538009,287
538010,40
538011,184
538012,48
538013,83
538014,150
538015,131
538032,58
538035,228
538036,34
538037,60
538038,8
538039,7
538040,217
538041,30
538042,4
538043,1
538044,16
538045,27
538046,15
538047,70
538048,52
538049,8
538050,2
538051,152
538053,675
538054,24
538055,20
538056,118
538057,210
538058,150
538060,3
538061,38
538063,96
538064,78
538065,208
538067,66
538068,499
538069,239
538070,24
538071,1643
538072,13
538073,16
538074,80
538076,141
538077,394
538078,173
538079,190
538080,110
538086,203
538087,16
538090,723
538092,177
538093,344
538094,85
538095,67
538096,3
538097,196
538101,78
538104,129
538106,57
538107,80
538108,222
538113,95
538116,240
538117,36
538120,150
538125,16
538126,78
538127,2
538128,46
538129,79
538130,10
538131,84
538132,3
538133,3
538134,2
538135,2
538136,2
538137,2
538138,2
538139,2
538140,9
538141,2
538142,1
538143,1
538144,1
538145,117
538146,168
538147,1
538148,225
538149,239
538151,92
538153,353
538154,32
538155,67
538156,202
538157,57
538158,32
538159,18
538160,288
538161,100
538162,100
538163,116
538165,154
538166,43
538167,125
538168,162
538169,33
538170,133
538171,194
538172,212
538173,28
538174,1063
538175,21
538176,152
538177,1306
538178,82
538179,6
538180,178
538181,58
538182,38
538183,279
538184,314
538185,90
538186,77
538187,68
