category,scientific_name,common_names,conservation_status,is_protected
Mammal,Clethrionomys gapperi gapperi,Gapper's Red-Backed Vole,No Intervention,False
Mammal,Bos bison,"American Bison, Bison",No Intervention,False
Mammal,Bos taurus,"Aurochs, Aurochs, Domestic Cattle (Feral), Domesticated Cattle",No Intervention,False
Mammal,Ovis aries,"Domestic Sheep, Mouflon, Red Sheep, Sheep (Feral)",No Intervention,False
Mammal,Cervus elaphus,Wapiti Or Elk,No Intervention,False
Mammal,Odocoileus virginianus,White-Tailed Deer,No Intervention,False
Mammal,Sus scrofa,"Feral Hog, Wild Pig",No Intervention,False
Mammal,Canis latrans,Coyote,Species of Concern,True
Mammal,Canis lupus,Gray Wolf,Endangered,True
Mammal,Canis rufus,Red Wolf,Endangered,True
Mammal,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",No Intervention,False
Mammal,Vulpes fulva,"Black Fox, Cross Fox, Red Fox, Silver Fox",No Intervention,False
Mammal,Vulpes vulpes,Red Fox,No Intervention,False
Mammal,Felis concolor,Mountain Lion,No Intervention,False
Mammal,Felis silvestris,"Wild Cat, Wildcat",No Intervention,False
Mammal,Lynx rufus,Bobcat,No Intervention,False
Mammal,Puma concolor,Panther (Mountain Lion),No Intervention,False
Mammal,Mephitis mephitis,Striped Skunk,No Intervention,False
Mammal,Spilogale putorius,Eastern Spotted Skunk,No Intervention,False
Mammal,Lontra canadensis,River Otter,No Intervention,False
Mammal,Lutra canadensis,Northern River Otter,No Intervention,False
Mammal,Martes pennanti,Fisher,No Intervention,False
Mammal,Mustela,Mink (Or Weasel),No Intervention,False
Mammal,Mustela frenata,Long-Tailed Weasel,No Intervention,False
Mammal,Mustela nivalis,Least Weasel,No Intervention,False
Mammal,Mustela vison,Mink,No Intervention,False
Mammal,Procyon lotor,"Common Raccoon, Raccoon",No Intervention,False
Mammal,Ursus americanus,Black Bear,No Intervention,False
Mammal,Corynorhinus rafinesquii,Rafinesque's Big-Eared Bat,No Intervention,False
Mammal,Eptesicus fuscus,Big Brown Bat,Species of Concern,True
Mammal,Lasionycteris noctivagans,Silver-Haired Bat,Species of Concern,True
Mammal,Lasiurus borealis,"Eastern Red Bat, Red Bat",No Intervention,False
Mammal,Lasiurus cinereus,Hoary Bat,No Intervention,False
Mammal,Myotis austroriparius,"Mississippi Myotis, Southeastern Myotis",Species of Concern,True
Mammal,Myotis grisescens,Gray Myotis,Endangered,True
Mammal,Myotis keenii,Keen's Myotis,Species of Concern,True
Mammal,Myotis leibii,"Eastern Small-Footed Bat, Eastern Small-Footed Myotis",Species of Concern,True
Mammal,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Species of Concern,True
Mammal,Myotis septentrionalis,"Northern Long-Eared Bat, Northern Myotis",Threatened,True
Mammal,Myotis sodalis,"Indiana Bat, Indiana Or Social Myotis",Endangered,True
Mammal,Nycticeius humeralis,Evening Bat,No Intervention,False
Mammal,Pipistrellus subflavus,Eastern Pipistrelle,No Intervention,False
Mammal,Didelphis virginiana,"Virginia Opossum, Virginia Oppossum",No Intervention,False
Mammal,Lepus americanus,Snowshoe Hare,No Intervention,False
Mammal,Sylvilagus floridanus,Eastern Cottontail,No Intervention,False
Mammal,Sylvilagus obscurus,Appalachian Cottontail,No Intervention,False
Mammal,Sylvilagus transitionalis,New England Cottontail,No Intervention,False
Mammal,Equus caballus,"Feral Horse, Horse",No Intervention,False
Mammal,Homo sapiens,"Human, Humans, Man",No Intervention,False
Mammal,Castor canadensis,"American Beaver, Beaver",No Intervention,False
Mammal,Clethrionomys gapperi,Southern Red-Backed Vole,No Intervention,False
Mammal,Microtus chrotorrhinus,"Rock Vole, Southern Rock Vole",No Intervention,False
Mammal,Microtus pennsylvanicus,Meadow Vole,No Intervention,False
Mammal,Microtus pinetorum,Woodland Vole,No Intervention,False
Mammal,Neotoma floridana,Eastern Woodrat,No Intervention,False
Mammal,Neotoma magister,"Allegheny Woodrat, Appalachian Woodrat",No Intervention,False
Mammal,Ochrotomys nuttalli,Golden Mouse,No Intervention,False
Mammal,Ondatra zibethicus,Muskrat,No Intervention,False
Mammal,Oryzomys palustris,Marsh Rice Rat,No Intervention,False
Mammal,Oryzomys palustris palustris,Marsh Rice Rat,No Intervention,False
Mammal,Peromyscus gossypinus,Cotton Mouse,No Intervention,False
Mammal,Peromyscus leucopus,White-Footed Mouse,No Intervention,False
Mammal,Peromyscus maniculatus,Deer Mouse,No Intervention,False
Mammal,Reithrodontomys humulis,Eastern Harvest Mouse,No Intervention,False
Mammal,Synaptomys cooperi,Southern Bog Lemming,No Intervention,False
Mammal,Synaptomys cooperi stonei,Stone's Southern Bog Lemming,No Intervention,False
Mammal,Napaeozapus insignis,Woodland Jumping Mouse,No Intervention,False
Mammal,Zapus hudsonius,Meadow Jumping Mouse,No Intervention,False
Mammal,Erethizon dorsatum,"Common Porcupine, Porcupine",No Intervention,False
Mammal,Mus musculus,House Mouse,No Intervention,False
Mammal,Rattus norvegicus,Norway Rat,No Intervention,False
Mammal,Rattus rattus,Black Rat,No Intervention,False
Mammal,Glaucomys sabrinus coloratus,"Carolina Northern Flying Squirrel, Northern Flying Squirrel",Endangered,True
Mammal,Glaucomys volans,Southern Flying Squirrel,No Intervention,False
Mammal,Marmota monax,Woodchuck,No Intervention,False
Mammal,Sciurus carolinensis,"Eastern Gray Squirrel, Gray Squirrel",No Intervention,False
Mammal,Sciurus niger,"Eastern Fox Squirrel, Fox Squirrel",No Intervention,False
Mammal,Tamias striatus,Eastern Chipmunk,No Intervention,False
Mammal,Tamiasciurus hudsonicus,Red Squirrel,No Intervention,False
Mammal,Blarina brevicauda,"Northern Short Tailed Shrew, Northern Short-Tailed Shrew",No Intervention,False
Mammal,Cryptotis parva,Least Shrew,No Intervention,False
Mammal,Sorex cinereus,"Common Shrew, Masked Shrew",No Intervention,False
Mammal,Sorex dispar,"Long-Tailed Or Rock Shrew, Long-Tailed Shrew",No Intervention,False
Mammal,Sorex fumeus,Smoky Shrew,No Intervention,False
Mammal,Sorex hoyi,Pygmy Shrew,No Intervention,False
Mammal,Sorex longirostris,Southeastern Shrew,No Intervention,False
Mammal,Sorex palustris,Water Shrew,No Intervention,False
Mammal,Condylura cristata,Star-Nosed Mole,No Intervention,False
Mammal,Parascalops breweri,Hairy-Tailed Mole,No Intervention,False
Mammal,Scalopus aquaticus,Eastern Mole,No Intervention,False
